Corpus,LLM,Threat Model,bertscore,binary_acc1,binary_acc5,entropy,pinc,true_class_confidence
EBG,claude-3.5,logreg,True,False,False,False,False,False
EBG,claude-3.5,roberta,True,False,False,False,False,False
EBG,claude-3.5,svm,True,False,False,False,False,False
EBG,gemma-2,logreg,True,False,False,False,False,False
EBG,gemma-2,roberta,True,False,False,False,False,False
EBG,gemma-2,svm,True,False,False,False,False,False
EBG,gpt-4o,logreg,False,True,False,False,False,False
EBG,gpt-4o,roberta,False,False,False,False,False,False
EBG,gpt-4o,svm,False,False,False,False,False,False
EBG,llama-3.1,logreg,False,False,False,False,False,False
EBG,llama-3.1,roberta,False,False,False,False,False,False
EBG,llama-3.1,svm,False,False,False,False,False,False
EBG,ministral,logreg,False,False,False,False,False,False
EBG,ministral,roberta,False,False,False,False,False,False
EBG,ministral,svm,False,False,False,False,False,False
RJ,claude-3.5,logreg,False,True,True,False,False,False
RJ,claude-3.5,roberta,False,True,True,False,False,False
RJ,claude-3.5,svm,False,True,True,False,False,False
RJ,gemma-2,logreg,False,False,True,False,False,False
RJ,gemma-2,roberta,False,False,True,False,False,False
RJ,gemma-2,svm,False,False,True,False,False,False
RJ,gpt-4o,logreg,False,False,False,False,True,False
RJ,gpt-4o,roberta,False,False,False,False,True,False
RJ,gpt-4o,svm,False,False,False,False,False,False
RJ,llama-3.1,logreg,False,False,False,False,False,False
RJ,llama-3.1,roberta,False,False,False,False,False,False
RJ,llama-3.1,svm,False,False,False,False,False,False
RJ,ministral,logreg,False,False,False,True,False,False
RJ,ministral,roberta,False,False,False,True,False,False
RJ,ministral,svm,False,False,False,True,False,False
